startTime,stopTime,KP name,comment
2025-03-30 19:00:00,2025-03-31 03:30:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-04 01:00:00,2025-04-04 05:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-04 21:00:00,2025-04-05 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-06 19:00:00,2025-04-06 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-07 19:00:00,2025-04-07 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-09 01:00:00,2025-04-09 05:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-10 20:00:00,2025-04-11 01:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-11 20:00:00,2025-04-12 01:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-12 19:00:00,2025-04-13 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-13 19:00:00,2025-04-13 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-14 19:00:00,2025-04-15 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-16 19:00:00,2025-04-17 02:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-17 19:00:00,2025-04-17 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-18 00:00:00,2025-04-18 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-18 19:00:00,2025-04-18 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-19 00:00:00,2025-04-19 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-20 19:00:00,2025-04-20 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-21 00:00:00,2025-04-21 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-21 19:00:00,2025-04-21 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-22 00:00:00,2025-04-22 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-22 19:00:00,2025-04-22 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-23 21:00:00,2025-04-24 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-24 19:00:00,2025-04-24 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-25 19:00:00,2025-04-26 02:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-26 19:00:00,2025-04-27 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-27 19:00:00,2025-04-28 02:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-28 19:00:00,2025-04-29 02:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-29 23:00:00,2025-04-30 04:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-04-30 23:00:00,2025-05-01 01:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-01 19:00:00,2025-05-02 01:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-03 19:00:00,2025-05-04 01:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-04 19:00:00,2025-05-04 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-04 23:00:00,2025-05-05 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-07 20:00:00,2025-05-08 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-08 20:00:00,2025-05-09 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-10 21:00:00,2025-05-11 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-11 22:00:00,2025-05-12 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-12 19:00:00,2025-05-12 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-12 23:00:00,2025-05-13 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-13 19:00:00,2025-05-13 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-14 19:00:00,2025-05-14 23:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-17 19:00:00,2025-05-18 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-19 22:00:00,2025-05-20 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-20 01:00:00,2025-05-20 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-20 19:00:00,2025-05-20 21:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-20 23:00:00,2025-05-21 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-21 19:00:00,2025-05-21 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-22 01:00:00,2025-05-22 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-22 19:00:00,2025-05-22 22:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-23 01:00:00,2025-05-23 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-23 20:00:00,2025-05-24 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-24 01:00:00,2025-05-24 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-24 19:00:00,2025-05-25 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-25 22:00:00,2025-05-26 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-26 01:00:00,2025-05-26 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-28 19:00:00,2025-05-29 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-29 01:00:00,2025-05-29 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-29 19:00:00,2025-05-30 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-30 01:00:00,2025-05-30 03:00:00,LT02 Exoplanets and stars,NenuFAR booking
2025-05-30 22:00:00,2025-05-31 00:00:00,LT02 Exoplanets and stars,NenuFAR booking
